_col0,primary_category
790,3d_printing_service
357,abortion_clinic
96,abrasives_supplier
8579,abuse_and_addiction_treatment
88,academic_bookstore
262,acai_bowls
425834,accommodation
139020,accountant
29,acne_treatment
216,acoustical_consultant
305733,active_life
32117,acupuncture
358,addiction_rehabilitation_center
646,adoption_services
2850,adult_education
9356,adult_entertainment
646,adult_store
641,adventure_sports_center
189048,advertising_agency
26,aerial_fitness_center
72,aerial_tours
189,aesthetician
1704,afghan_restaurant
4862,african_restaurant
690,after_school_program
182,aggregate_supplier
23910,agricultural_cooperatives
22,agricultural_engineering_service
216,agricultural_production
206,agricultural_seed_store
93476,agricultural_service
77357,agriculture
667,agriculture_association
7,agriturismo
1205,air_duct_cleaning_service
599,aircraft_dealer
444,aircraft_manufacturer
107,aircraft_parts_and_supplies
1057,aircraft_repair
6158,airline
117,airline_ticket_agency
4263,airlines
59662,airport
4512,airport_lounge
3764,airport_shuttles
6440,airport_terminal
48,airsoft_fields
202,alcohol_and_drug_treatment_center
4986,alcohol_and_drug_treatment_centers
4641,allergist
4695,altering_and_remodeling_contractor
9156,alternative_medicine
388,aluminum_supplier
541,amateur_sports_league
25838,amateur_sports_team
18237,ambulance_and_ems_services
2,american_football_field
83629,american_restaurant
36789,amusement_park
3352,anesthesiologist
2490,anglican_church
2,animal_assisted_therapy
1767,animal_hospital
16,animal_physical_therapy
915,animal_rescue_service
17401,animal_shelter
213,animation_studio
135,antenna_service
48903,antique_store
1356,apartment_agent
32476,apartments
33,apiaries_and_beekeepers
3397,appellate_practice_lawyers
5024,appliance_manufacturer
26121,appliance_repair_service
44828,appliance_store
10777,appraisal_services
7501,aquarium
94,aquarium_services
12529,aquatic_pet_store
2549,arabian_restaurant
21733,arcade
630,archaeological_services
2395,archery_range
735,archery_shop
12467,architect
101883,architectural_designer
132,architectural_tours
246,architecture
68,architecture_schools
2590,argentine_restaurant
35685,armed_forces_branch
198,armenian_restaurant
15,army_and_navy_store
3478,aromatherapy
128824,art_gallery
13786,art_museum
2216,art_restoration
246,art_restoration_service
25214,art_school
2,art_space_rental
1286,art_supply_store
21,art_tours
185,artificial_turf
122621,arts_and_crafts
220690,arts_and_entertainment
81,asian_art_museum
8614,asian_fusion_restaurant
458,asian_grocery_store
61233,asian_restaurant
16161,assisted_living_facility
5696,astrologer
45,atelier
156824,atms
145,attraction_farm
111301,attractions_and_activities
936,atv_recreation_park
2038,atv_rentals_and_tours
13078,auction_house
19140,audio_visual_equipment_store
270,audio_visual_production_and_design
15011,audiologist
5192,audiovisual_equipment_rental
19042,auditorium
2055,australian_restaurant
1572,austrian_restaurant
23866,auto_body_shop
83443,auto_company
21497,auto_customization
143917,auto_detailing
8246,auto_electrical_repair
25305,auto_glass_service
32779,auto_insurance
1004,auto_loan_provider
16212,auto_manufacturers_and_distributors
28550,auto_parts_and_supply_store
7345,auto_restoration_services
891,auto_security
1987,auto_upholstery
15423,automation_services
2660,automobile_leasing
2303,automobile_registration_service
218606,automotive
7853,automotive_consultant
98736,automotive_dealer
259376,automotive_parts_and_accessories
825034,automotive_repair
22338,automotive_services_and_repair
1334,automotive_storage_facility
631,automotive_wheel_polishing_service
141,aviation_museum
474,avionics_shop
874,awning_supplier
20,axe_throwing
247,ayurveda
59,azerbaijani_restaurant
82,b2b_agriculture_and_food
5775,b2b_apparel
171,b2b_autos_and_vehicles
6371,b2b_cleaning_and_waste_management
64,b2b_dairies
12649,b2b_electronic_equipment
653,b2b_energy_and_mining
610,b2b_equipment_maintenance_and_repair
14,b2b_farming
65,b2b_farms
1289,b2b_food_products
486,b2b_forklift_dealers
516,b2b_furniture_and_housewares
154,b2b_hardware
17107,b2b_jewelers
1514,b2b_machinery_and_tools
222,b2b_medical_support_services
1471,b2b_oil_and_gas_extraction_and_services
1737,b2b_rubber_and_plastics
21249,b2b_science_and_technology
517,b2b_scientific_equipment
330,b2b_sporting_and_recreation_goods
91,b2b_storage_and_warehouses
37275,b2b_textiles
77,b2b_tires
1544,b2b_tractor_dealers
1331,b2b_truck_equipment_parts_and_accessories
1937,baby_gear_and_furniture
42,back_shop
87,backflow_services
36,background_check_services
5,backpacking_area
2959,badminton_court
960,bagel_restaurant
5239,bagel_shop
1407,bags_luggage_company
5627,bail_bonds_service
431989,bakery
142,balloon_ports
416,balloon_services
984,bangladeshi_restaurant
356922,bank_credit_union
620,bank_equipment_service
7859,bankruptcy_law
43069,banks
35508,baptist_church
657705,bar
57527,bar_and_grill_restaurant
3,bar_crawl
111031,barbecue_restaurant
280052,barber
342,barre_classes
3535,bartender
413,bartending_school
8059,baseball_field
938,baseball_stadium
7184,basketball_court
907,basketball_stadium
252,basque_restaurant
309,bathroom_fixture_stores
2063,bathroom_remodeling
314,bathtub_and_sink_repairs
1,battery_inverter_supplier
3109,battery_store
2211,batting_cage
9,bazaars
182785,beach
57,beach_bar
975,beach_equipment_rentals
4625,beach_resort
2,beach_volleyball_club
25,beach_volleyball_court
282,bearing_supplier
665373,beauty_and_spa
26103,beauty_product_supplier
1597450,beauty_salon
97579,bed_and_breakfast
1703,bedding_and_bath_stores
32677,beer_bar
25407,beer_garden
21,beer_tours
11570,beer_wine_and_spirits
120,behavior_analyst
33,belarusian_restaurant
1747,belgian_restaurant
12,belizean_restaurant
11358,betting_center
2005,beverage_store
8844,beverage_supplier
11,bicycle_path
6,bicycle_sharing_location
78116,bicycle_shop
20,bike_parking
7078,bike_rentals
9148,bike_repair_maintenance
4,bike_sharing
78,bike_tours
719,billing_services
2479,bingo_hall
7301,biotechnology_company
171,bird_shop
358,bistro
302,blacksmiths
7220,blood_and_plasma_donation_center
212,blow_dry_blow_out_service
92,blueprinters
305,board_of_education_offices
198,boat_builder
829,boat_charter
11589,boat_dealer
3153,boat_parts_and_accessories
811,boat_parts_and_supply_store
11531,boat_rental_and_training
13932,boat_service_and_repair
485,boat_storage_facility
6224,boat_tours
2,boating_places
1,bobsledding_field
3,bocce_ball_court
22,body_contouring
96,bolivian_restaurant
