Basic hierarchy,Basic label,Modified,Remove from V1,Match type,Overture label,Overture hierarchy
Business location,business_location,,,CLOSE,business,business_to_business > business
Business location,business_location,,,NARROWER,private_association,public_service_and_government > organization > private_association
Business location > B2B service,b2b_service,,,NARROWER,audio_visual_production_and_design,business_to_business > business_to_business_services > audio_visual_production_and_design
Business location > B2B service,b2b_service,,,NARROWER,automation_services,business_to_business > commercial_industrial > automation_services
Business location > B2B service,b2b_service,,,NARROWER,b2b_cleaning_and_waste_management,business_to_business > business_to_business_services > environmental_and_ecological_services_for_businesses > b2b_cleaning_and_waste_management
Business location > B2B service,b2b_service,,,NARROWER,b2b_energy_and_mining,business_to_business > b2b_energy_and_mining
Business location > B2B service,b2b_service,,,NARROWER,b2b_medical_support_services,business_to_business > b2b_medical_support_services
Business location > B2B service,b2b_service,,,NARROWER,b2b_science_and_technology,business_to_business > b2b_science_and_technology
Business location > B2B service,b2b_service,,,NARROWER,b2b_scientific_equipment,business_to_business > b2b_science_and_technology > b2b_scientific_equipment
Business location > B2B service,b2b_service,,,NARROWER,b2b_storage_and_warehouses,business_to_business > business_storage_and_transportation > b2b_storage_and_warehouses
Business location > B2B service,b2b_service,,,NARROWER,bank_equipment_service,professional_services > bank_equipment_service
Business location > B2B service,b2b_service,,,NARROWER,billing_services,professional_services > billing_services
Business location > B2B service,b2b_service,,,NARROWER,biotechnology_company,business_to_business > b2b_medical_support_services > biotechnology_company
Business location > B2B service,b2b_service,,,NARROWER,blacksmiths,professional_services > construction_services > metal_materials_and_experts > blacksmiths
Business location > B2B service,b2b_service,,,NARROWER,boat_builder,business_to_business > business_to_business_services > boat_builder
Business location > B2B service,b2b_service,,,NARROWER,business_consulting,professional_services > business_consulting
Business location > B2B service,b2b_service,,,NARROWER,business_records_storage_and_management,business_to_business > business_to_business_services > business_records_storage_and_management
Business location > B2B service,b2b_service,,,NARROWER,business_storage_and_transportation,business_to_business > business_storage_and_transportation
Business location > B2B service,b2b_service,,,CLOSE,business_to_business,business_to_business
Business location > B2B service,b2b_service,,,NARROWER,business_to_business_services,business_to_business > business_to_business_services
Business location > B2B service,b2b_service,,,NARROWER,certification_agency,professional_services > certification_agency
Business location > B2B service,b2b_service,,,NARROWER,clinical_laboratories,business_to_business > b2b_medical_support_services > clinical_laboratories
Business location > B2B service,b2b_service,,,NARROWER,commercial_printer,professional_services > commercial_printer
Business location > B2B service,b2b_service,,,NARROWER,commercial_real_estate,real_estate > commercial_real_estate
Business location > B2B service,b2b_service,,,NARROWER,commercial_refrigeration,professional_services > commercial_refrigeration
Business location > B2B service,b2b_service,,,NARROWER,corporate_entertainment_services,private_establishments_and_corporates > corporate_entertainment_services
Business location > B2B service,b2b_service,,,NARROWER,coworking_space,business_to_business > business_to_business_services > coworking_space
Business location > B2B service,b2b_service,,,NARROWER,crane_services,professional_services > crane_services
Business location > B2B service,b2b_service,,,NARROWER,customs_broker,professional_services > customs_broker
Business location > B2B service,b2b_service,,,NARROWER,dental_laboratories,business_to_business > b2b_medical_support_services > dental_laboratories
Business location > B2B service,b2b_service,,,NARROWER,domestic_business_and_trade_organizations,business_to_business > business_to_business_services > domestic_business_and_trade_organizations
Business location > B2B service,b2b_service,,,NARROWER,dumpster_rentals,professional_services > junk_removal_and_hauling > dumpster_rentals
Business location > B2B service,b2b_service,,,NARROWER,elevator_service,professional_services > elevator_service
Business location > B2B service,b2b_service,,,NARROWER,energy_management_and_conservation_consultants,business_to_business > business_to_business_services > environmental_and_ecological_services_for_businesses > energy_management_and_conservation_consultants
Business location > B2B service,b2b_service,,,NARROWER,environmental_abatement_services,professional_services > environmental_abatement_services
Business location > B2B service,b2b_service,,,NARROWER,environmental_and_ecological_services_for_businesses,business_to_business > business_to_business_services > environmental_and_ecological_services_for_businesses
Business location > B2B service,b2b_service,,,NARROWER,environmental_renewable_natural_resource,business_to_business > business_to_business_services > environmental_and_ecological_services_for_businesses > environmental_renewable_natural_resource
Business location > B2B service,b2b_service,,,NARROWER,environmental_testing,professional_services > environmental_testing
Business location > B2B service,b2b_service,,,NARROWER,fingerprinting_service,professional_services > fingerprinting_service
Business location > B2B service,b2b_service,,,NARROWER,food_and_beverage_consultant,professional_services > food_and_beverage_consultant
Business location > B2B service,b2b_service,,,NARROWER,forestry_consultants,business_to_business > business_to_business_services > environmental_and_ecological_services_for_businesses > forestry_consultants
Business location > B2B service,b2b_service,,,NARROWER,forestry_service,professional_services > forestry_service
Business location > B2B service,b2b_service,,,NARROWER,generator_installation_repair,professional_services > generator_installation_repair
Business location > B2B service,b2b_service,,,NARROWER,geological_services,business_to_business > business_to_business_services > environmental_and_ecological_services_for_businesses > geological_services
Business location > B2B service,b2b_service,,,NARROWER,hazardous_waste_disposal,professional_services > hazardous_waste_disposal
Business location > B2B service,b2b_service,,,NARROWER,hospital_equipment_and_supplies,business_to_business > b2b_medical_support_services > hospital_equipment_and_supplies
Business location > B2B service,b2b_service,,,NARROWER,hydraulic_repair_service,professional_services > hydraulic_repair_service
Business location > B2B service,b2b_service,,,NARROWER,international_business_and_trade_services,business_to_business > business_to_business_services > international_business_and_trade_services
