_col0,primary_category,basic_category
713,3d_printing_service,printing_service
454,abortion_clinic,clinic_or_treatment_center
95,abrasives_supplier,b2b_supplier_distributor
21257,abuse_and_addiction_treatment,clinic_or_treatment_center
1029,academic_bookstore,bookstore
311,acai_bowls,restaurant
344498,accommodation,accommodation
156341,accountant,accountant_or_bookkeeper
30,acne_treatment,personal_service
195,acoustical_consultant,service_location
185064,active_life,recreational_location
43292,acupuncture,alternative_medicine
1996,addiction_rehabilitation_center,clinic_or_treatment_center
840,adoption_services,adoption_service
8580,adult_education,place_of_learning
11591,adult_entertainment,entertainment_location
1728,adult_store,specialty_store
858,adventure_sports_center,sport_fitness_facility
264775,advertising_agency,business_advertising_marketing
28,aerial_fitness_center,fitness_studio
66,aerial_tours,tour_operator
218,aesthetician,plastic_reconstructive_and_aesthetic_surgery
2057,afghan_restaurant,restaurant
7679,african_restaurant,restaurant
807,after_school_program,educational_service
172,aggregate_supplier,b2b_supplier_distributor
23697,agricultural_cooperatives,agricultural_service
18,agricultural_engineering_service,agricultural_service
215,agricultural_production,agricultural_area
194,agricultural_seed_store,specialty_store
88840,agricultural_service,agricultural_service
63934,agriculture,agricultural_area
678,agriculture_association,civic_organization_office
983,agriturismo,tour_operator
1087,air_duct_cleaning_service,hvac_service
505,aircraft_dealer,vehicle_dealer
590,aircraft_manufacturer,manufacturer
88,aircraft_parts_and_supplies,specialty_store
620,aircraft_repair,vehicle_service
6670,airline,air_transport_facility_service
100,airline_ticket_agency,travel_ticket_office
5425,airlines,air_transport_facility_service
58425,airport,airport
4074,airport_lounge,bar
4480,airport_shuttles,airport_shuttle_service
6984,airport_terminal,airport_terminal
49,airsoft_fields,sport_field
455,alcohol_and_drug_treatment_center,clinic_or_treatment_center
3640,alcohol_and_drug_treatment_centers,clinic_or_treatment_center
5751,allergist,allergy_and_immunology
3707,altering_and_remodeling_contractor,building_contractor_service
18723,alternative_medicine,alternative_medicine
375,aluminum_supplier,b2b_supplier_distributor
459,amateur_sports_league,amateur_sport_league
13185,amateur_sports_team,amateur_sport_team
22508,ambulance_and_ems_services,ambulance_ems_service
206,american_football_field,sport_field
123481,american_restaurant,restaurant
52260,amusement_park,amusement_park
4227,anesthesiologist,healthcare_location
5008,anglican_church,christian_place_of_worship
2,animal_assisted_therapy,psychotherapy
1900,animal_hospital,animal_hospital
16,animal_physical_therapy,animal_service
3847,animal_rescue_service,animal_rescue
22511,animal_shelter,animal_shelter
1527,animation_studio,media_service
102,antenna_service,home_service
74170,antique_store,antique_shop
1173,apartment_agent,property_management_service
31673,apartments,apartment_building
20,apiaries_and_beekeepers,farm
3047,appellate_practice_lawyers,attorney_or_law_firm
18681,appliance_manufacturer,manufacturer
46049,appliance_repair_service,applicance_repair_service
68749,appliance_store,specialty_store
31508,appraisal_services,building_appraisal_service
6819,aquarium,aquarium
92,aquarium_services,animal_service
12631,aquatic_pet_store,pet_store
2353,arabian_restaurant,restaurant
26776,arcade,arcade
783,archaeological_services,educational_service
2372,archery_range,shooting_range
1040,archery_shop,sporting_goods_store
11079,architect,architectural_design_service
104396,architectural_designer,architectural_design_service
99,architectural_tours,tour_operator
278,architecture,historic_site
64,architecture_schools,college_university
4484,argentine_restaurant,restaurant
34537,armed_forces_branch,military_site
374,armenian_restaurant,restaurant
17,army_and_navy_store,specialty_store
5072,aromatherapy,personal_service
165933,art_gallery,art_gallery
15062,art_museum,art_museum
1976,art_restoration,media_service
454,art_restoration_service,media_service
34255,art_school,specialty_school
1,art_space_rental,Artspace
1181,art_supply_store,art_craft_hobby_store
19,art_tours,tour_operator
173,artificial_turf,home_service
142535,arts_and_crafts,art_craft_hobby_store
195964,arts_and_entertainment,entertainment_location
53,asian_art_museum,art_museum
8604,asian_fusion_restaurant,restaurant
452,asian_grocery_store,grocery_store
75632,asian_restaurant,restaurant
38200,assisted_living_facility,senior_living_facility
8429,astrologer,astrological_advising
38,atelier,art_craft_hobby_store
240453,atms,atm
166,attraction_farm,farm
111816,attractions_and_activities,entertainment_location
583,atv_recreation_park,sport_fitness_facility
