New Primary Category,New Primary Hierarchy,Basic Level Category,Old Primary Category,Old Primary Hierarchy
arts_and_entertainment,arts_and_entertainment,entertainment_location,arts_and_entertainment,arts_and_entertainment
arts_and_entertainment,arts_and_entertainment,entertainment_location,attractions_and_activities,attractions_and_activities
amusement_attraction,arts_and_entertainment > amusement_attraction,entertainment_location,,
amusement_park,arts_and_entertainment > amusement_attraction > amusement_park,amusement_park,amusement_park,attractions_and_activities > amusement_park
carnival_venue,arts_and_entertainment > amusement_attraction > carnival_venue,festival_venue,,
carousel,arts_and_entertainment > amusement_attraction > carousel,entertainment_location,carousel,arts_and_entertainment > carousel
circus_venue,arts_and_entertainment > amusement_attraction > circus_venue,entertainment_location,circus,arts_and_entertainment > circus
haunted_house,arts_and_entertainment > amusement_attraction > haunted_house,entertainment_location,haunted_house,attractions_and_activities > haunted_house
animal_attraction,arts_and_entertainment > animal_attraction,animal_attraction,,
aquarium,arts_and_entertainment > animal_attraction > aquarium,aquarium,aquarium,attractions_and_activities > aquarium
wildlife_sanctuary,arts_and_entertainment > animal_attraction > wildlife_sanctuary,wildlife_sanctuary,wildlife_sanctuary,arts_and_entertainment > wildlife_sanctuary
zoo,arts_and_entertainment > animal_attraction > zoo,zoo,zoo,attractions_and_activities > zoo
petting_zoo,arts_and_entertainment > animal_attraction > zoo > petting_zoo,zoo,petting_zoo,attractions_and_activities > zoo > petting_zoo
zoo_exhibit,arts_and_entertainment > animal_attraction > zoo > zoo_exhibit,zoo,,
arts_and_crafts_space,arts_and_entertainment > arts_and_crafts_space,artspace,,
arts_and_crafts_space,arts_and_entertainment > arts_and_crafts_space,artspace,chamber_of_handicraft,arts_and_entertainment > chamber_of_handicraft
art_gallery,arts_and_entertainment > arts_and_crafts_space > art_gallery,art_gallery,art_gallery,attractions_and_activities > art_gallery
artist_studio,arts_and_entertainment > arts_and_crafts_space > artist_studio,artist_studio,,
glass_blowing_venue,arts_and_entertainment > arts_and_crafts_space > glass_blowing_venue,entertainment_location,glass_blowing,arts_and_entertainment > glass_blowing
paint_and_sip_venue,arts_and_entertainment > arts_and_crafts_space > paint_and_sip_venue,entertainment_location,paint_and_sip,arts_and_entertainment > paint_and_sip
paint_your_own_pottery_venue,arts_and_entertainment > arts_and_crafts_space > paint_your_own_pottery_venue,entertainment_location,paint_your_own_pottery,retail > shopping > arts_and_crafts > paint_your_own_pottery
sculpture_park,arts_and_entertainment > arts_and_crafts_space > sculpture_park,statue_sculpture,,
sculpture_statue,arts_and_entertainment > arts_and_crafts_space > sculpture_statue,statue_sculpture,sculpture_statue,attractions_and_activities > sculpture_statue
street_art,arts_and_entertainment > arts_and_crafts_space > street_art,street_art,street_art,attractions_and_activities > street_art
event_venue,arts_and_entertainment > event_venue,event_space,venue_and_event_space,professional_services > event_planning > venue_and_event_space
auditorium,arts_and_entertainment > event_venue > auditorium,event_space,auditorium,arts_and_entertainment > auditorium
exhibition_and_trade_fair_venue,arts_and_entertainment > event_venue > exhibition_and_trade_fair_venue,event_space,exhibition_and_trade_center,arts_and_entertainment > exhibition_and_trade_center
exhibition_and_trade_fair_venue,arts_and_entertainment > event_venue > exhibition_and_trade_fair_venue,event_space,trade_fair,arts_and_entertainment > festival > trade_fair
festival_venue,arts_and_entertainment > festival_venue,festival_venue,festival,arts_and_entertainment > festival
festival_venue,arts_and_entertainment > festival_venue,festival_venue,general_festivals,arts_and_entertainment > festival > general_festivals
fairgrounds,arts_and_entertainment > festival_venue > fairgrounds,fairgrounds,fair,arts_and_entertainment > festival > fair
film_festival_venue,arts_and_entertainment > festival_venue > film_festival_venue,festival_venue,film_festivals_and_organizations,arts_and_entertainment > festival > film_festivals_and_organizations
music_festival_venue,arts_and_entertainment > festival_venue > music_festival_venue,festival_venue,music_festivals_and_organizations,arts_and_entertainment > festival > music_festivals_and_organizations
gaming_venue,arts_and_entertainment > gaming_venue,gaming_venue,,
arcade,arts_and_entertainment > gaming_venue > arcade,arcade,arcade,arts_and_entertainment > arcade
betting_center,arts_and_entertainment > gaming_venue > betting_center,gaming_venue,betting_center,arts_and_entertainment > betting_center
bingo_hall,arts_and_entertainment > gaming_venue > bingo_hall,bingo_hall,bingo_hall,arts_and_entertainment > bingo_hall
casino,arts_and_entertainment > gaming_venue > casino,casino,casino,arts_and_entertainment > casino
escape_room,arts_and_entertainment > gaming_venue > escape_room,escape_room,escape_rooms,arts_and_entertainment > escape_rooms
scavenger_hunt,arts_and_entertainment > gaming_venue > scavenger_hunt,entertainment_location,scavenger_hunts_provider,attractions_and_activities > scavenger_hunts_provider
movie_theater,arts_and_entertainment > movie_theater,movie_theater,cinema,arts_and_entertainment > cinema
drive_in_theater,arts_and_entertainment > movie_theater > drive_in_theater,movie_theater,drive_in_theater,arts_and_entertainment > cinema > drive_in_theater
outdoor_movie_space,arts_and_entertainment > movie_theater > outdoor_movie_space,movie_theater,outdoor_movies,arts_and_entertainment > cinema > outdoor_movies
museum,arts_and_entertainment > museum,museum,museum,attractions_and_activities > museum
art_museum,arts_and_entertainment > museum > art_museum,art_museum,art_museum,attractions_and_activities > museum > art_museum
asian_art_museum,arts_and_entertainment > museum > art_museum > asian_art_museum,art_museum,asian_art_museum,attractions_and_activities > museum > art_museum > asian_art_museum
cartooning_museum,arts_and_entertainment > museum > art_museum > cartooning_museum,art_museum,cartooning_museum,attractions_and_activities > museum > art_museum > cartooning_museum
contemporary_art_museum,arts_and_entertainment > museum > art_museum > contemporary_art_museum,art_museum,contemporary_art_museum,attractions_and_activities > museum > art_museum > contemporary_art_museum
costume_museum,arts_and_entertainment > museum > art_museum > costume_museum,art_museum,costume_museum,attractions_and_activities > museum > art_museum > costume_museum
decorative_arts_museum,arts_and_entertainment > museum > art_museum > decorative_arts_museum,art_museum,decorative_arts_museum,attractions_and_activities > museum > art_museum > decorative_arts_museum
design_museum,arts_and_entertainment > museum > art_museum > design_museum,art_museum,design_museum,attractions_and_activities > museum > art_museum > design_museum
modern_art_museum,arts_and_entertainment > museum > art_museum > modern_art_museum,art_museum,modern_art_museum,attractions_and_activities > museum > art_museum > modern_art_museum
photography_museum,arts_and_entertainment > museum > art_museum > photography_museum,art_museum,photography_museum,attractions_and_activities > museum > art_museum > photography_museum
textile_museum,arts_and_entertainment > museum > art_museum > textile_museum,art_museum,textile_museum,attractions_and_activities > museum > art_museum > textile_museum
aviation_museum,arts_and_entertainment > museum > aviation_museum,science_museum,aviation_museum,attractions_and_activities > museum > aviation_museum
childrens_museum,arts_and_entertainment > museum > childrens_museum,childrens_museum,childrens_museum,attractions_and_activities > museum > childrens_museum
history_museum,arts_and_entertainment > museum > history_museum,history_museum,history_museum,attractions_and_activities > museum > history_museum
civilization_museum,arts_and_entertainment > museum > history_museum > civilization_museum,museum,civilization_museum,attractions_and_activities > museum > history_museum > civilization_museum
community_museum,arts_and_entertainment > museum > history_museum > community_museum,museum,community_museum,attractions_and_activities > museum > history_museum > community_museum
military_museum,arts_and_entertainment > museum > military_museum,museum,military_museum,attractions_and_activities > museum > military_museum
national_museum,arts_and_entertainment > museum > national_museum,museum,national_museum,attractions_and_activities > museum > national_museum
science_museum,arts_and_entertainment > museum > science_museum,science_museum,science_museum,attractions_and_activities > museum > science_museum
computer_museum,arts_and_entertainment > museum > science_museum > computer_museum,science_museum,computer_museum,attractions_and_activities > museum > science_museum > computer_museum
sports_museum,arts_and_entertainment > museum > sports_museum,museum,sports_museum,attractions_and_activities > museum > sports_museum
state_museum,arts_and_entertainment > museum > state_museum,museum,state_museum,attractions_and_activities > museum > state_museum
nightlife_venue,arts_and_entertainment > nightlife_venue,entertainment_location,,
adult_entertainment_venue,arts_and_entertainment > nightlife_venue > adult_entertainment_venue,entertainment_location,adult_entertainment,arts_and_entertainment > adult_entertainment
erotic_massage_venue,arts_and_entertainment > nightlife_venue > adult_entertainment_venue > erotic_massage_venue,entertainment_location,erotic_massage,arts_and_entertainment > adult_entertainment > erotic_massage
strip_club,arts_and_entertainment > nightlife_venue > adult_entertainment_venue > strip_club,entertainment_location,strip_club,arts_and_entertainment > adult_entertainment > strip_club
strip_club,arts_and_entertainment > nightlife_venue > adult_entertainment_venue > strip_club,entertainment_location,striptease_dancer,arts_and_entertainment > adult_entertainment > striptease_dancer
bar_crawl,arts_and_entertainment > nightlife_venue > bar_crawl,social_club,bar_crawl,arts_and_entertainment > bar_crawl
club_crawl,arts_and_entertainment > nightlife_venue > club_crawl,social_club,club_crawl,arts_and_entertainment > club_crawl
dance_club,arts_and_entertainment > nightlife_venue > dance_club,dance_club,dance_club,arts_and_entertainment > dance_club
salsa_club,arts_and_entertainment > nightlife_venue > dance_club > salsa_club,dance_club,salsa_club,arts_and_entertainment > salsa_club
performing_arts_venue,arts_and_entertainment > performing_arts_venue,performing_arts_venue,performing_arts,arts_and_entertainment > performing_arts
performing_arts_venue,arts_and_entertainment > performing_arts_venue,performing_arts_venue,theaters_and_performance_venues,arts_and_entertainment > theaters_and_performance_venues
