_col0,primary_category,basic_category,primary,hierarchy,alternates
720,3d_printing_service,printing_service,3d_printing_service,"[""services_and_business"",""professional_service"",""3d_printing_service""]",
412,abortion_clinic,clinic_or_treatment_center,abortion_clinic,"[""health_care"",""abortion_clinic""]",
94,abrasives_supplier,b2b_supplier_distributor,abrasives_supplier,"[""services_and_business"",""business_to_business"",""supplier_distributor"",""abrasives_supplier""]",
19450,abuse_and_addiction_treatment,clinic_or_treatment_center,abuse_and_addiction_treatment,"[""health_care"",""abuse_and_addiction_treatment""]",
1189,academic_bookstore,bookstore,academic_bookstore,"[""shopping"",""specialty_store"",""books_mags_music_video_store"",""bookstore"",""academic_bookstore""]",
294,acai_bowls,restaurant,acai_bowls,"[""food_and_drink"",""restaurant"",""special_diet_restaurant"",""acai_bowls""]",
374785,accommodation,accommodation,lodging,"[""lodging""]",
154132,accountant,accountant_or_bookkeeper,accountant,"[""services_and_business"",""financial_service"",""accountant""]",
31,acne_treatment,personal_service,acne_treatment,"[""lifestyle_services"",""beauty_service"",""acne_treatment""]",
199,acoustical_consultant,service_location,acoustical_consultant,"[""services_and_business"",""professional_service"",""acoustical_consultant""]",
179150,active_life,recreational_location,sports_and_recreation,"[""sports_and_recreation""]",
41246,acupuncture,alternative_medicine,acupuncture,"[""health_care"",""acupuncture""]",
2007,addiction_rehabilitation_center,clinic_or_treatment_center,addiction_rehabilitation_center,"[""health_care"",""rehabilitation_center"",""addiction_rehabilitation_center""]",
867,adoption_services,adoption_service,adoption_service,"[""services_and_business"",""professional_service"",""adoption_service""]",
8456,adult_education,place_of_learning,adult_education,"[""education"",""adult_education""]",
13561,adult_entertainment,entertainment_location,adult_entertainment_venue,"[""arts_and_entertainment"",""nightlife_venue"",""adult_entertainment_venue""]",
1723,adult_store,specialty_store,adult_store,"[""shopping"",""specialty_store"",""adult_store""]",
854,adventure_sports_center,sport_fitness_facility,adventure_sports_center,"[""sports_and_recreation"",""sports_and_recreation_venue"",""adventure_sports_center""]",
256464,advertising_agency,business_advertising_marketing,advertising_agency,"[""services_and_business"",""professional_service"",""advertising_agency""]",
28,aerial_fitness_center,fitness_studio,aerial_fitness_center,"[""sports_and_recreation"",""sports_and_fitness_instruction"",""aerial_fitness_center""]",
68,aerial_tours,tour_operator,aerial_tour,"[""travel_and_transportation"",""travel"",""tour"",""aerial_tour""]",
217,aesthetician,plastic_reconstructive_and_aesthetic_surgery,aesthetician,"[""health_care"",""aesthetician""]",
2009,afghan_restaurant,restaurant,afghani_restaurant,"[""food_and_drink"",""restaurant"",""asian_restaurant"",""central_asian_restaurant"",""afghani_restaurant""]",
7708,african_restaurant,restaurant,african_restaurant,"[""food_and_drink"",""restaurant"",""african_restaurant""]",
909,after_school_program,educational_service,after_school_program,"[""services_and_business"",""professional_service"",""after_school_program""]",
168,aggregate_supplier,b2b_supplier_distributor,aggregate_supplier,"[""services_and_business"",""business_to_business"",""supplier_distributor"",""aggregate_supplier""]",
24245,agricultural_cooperatives,agricultural_service,agricultural_cooperative,"[""services_and_business"",""business_to_business"",""b2b_agriculture_and_food"",""agricultural_cooperative""]",
18,agricultural_engineering_service,agricultural_service,agricultural_service,"[""services_and_business"",""agricultural_service""]",
215,agricultural_production,agricultural_area,agricultural_production,"[""services_and_business"",""business_to_business"",""business_to_business_service"",""agricultural_production""]",
