Category code; Overture Taxonomy
eat_and_drink; [eat_and_drink]
restaurant; [eat_and_drink,restaurant]
afghan_restaurant; [eat_and_drink,restaurant,afghan_restaurant]
african_restaurant; [eat_and_drink,restaurant,african_restaurant]
ethiopian_restaurant; [eat_and_drink,restaurant,african_restaurant,ethiopian_restaurant]
senegalese_restaurant; [eat_and_drink,restaurant,african_restaurant,senegalese_restaurant]
south_african_restaurant; [eat_and_drink,restaurant,african_restaurant,south_african_restaurant]
moroccan_restaurant; [eat_and_drink,restaurant,african_restaurant,moroccan_restaurant]
nigerian_restaurant; [eat_and_drink,restaurant,african_restaurant,nigerian_restaurant]
american_restaurant; [eat_and_drink,restaurant,american_restaurant]
arabian_restaurant; [eat_and_drink,restaurant,arabian_restaurant]
belgian_restaurant; [eat_and_drink,restaurant,belgian_restaurant]
latin_american_restaurant; [eat_and_drink,restaurant,latin_american_restaurant]
argentine_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,argentine_restaurant]
belizean_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,belizean_restaurant]
bolivian_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,bolivian_restaurant]
brazilian_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,brazilian_restaurant]
chilean_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,chilean_restaurant]
colombian_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,colombian_restaurant]
costa_rican_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,costa_rican_restaurant]
cuban_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,cuban_restaurant]
ecuadorian_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,ecuadorian_restaurant]
guatemalan_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,guatemalan_restaurant]
honduran_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,honduran_restaurant]
mexican_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,mexican_restaurant]
nicaraguan_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,nicaraguan_restaurant]
panamanian_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,panamanian_restaurant]
paraguayan_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,paraguayan_restaurant]
peruvian_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,peruvian_restaurant]
puerto_rican_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,puerto_rican_restaurant]
salvadoran_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,salvadoran_restaurant]
texmex_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,texmex_restaurant]
uruguayan_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,uruguayan_restaurant]
venezuelan_restaurant; [eat_and_drink,restaurant,latin_american_restaurant,venezuelan_restaurant]
middle_eastern_restaurant; [eat_and_drink,restaurant,middle_eastern_restaurant]
armenian_restaurant; [eat_and_drink,restaurant,middle_eastern_restaurant,armenian_restaurant]
azerbaijani_restaurant; [eat_and_drink,restaurant,middle_eastern_restaurant,azerbaijani_restaurant]
egyptian_restaurant; [eat_and_drink,restaurant,middle_eastern_restaurant,egyptian_restaurant]
georgian_restaurant; [eat_and_drink,restaurant,middle_eastern_restaurant,georgian_restaurant]
israeli_restaurant; [eat_and_drink,restaurant,middle_eastern_restaurant,israeli_restaurant]
kofta_restaurant; [eat_and_drink,restaurant,middle_eastern_restaurant,kofta_restaurant]
kurdish_restaurant; [eat_and_drink,restaurant,middle_eastern_restaurant,kurdish_restaurant]
lebanese_restaurant; [eat_and_drink,restaurant,middle_eastern_restaurant,lebanese_restaurant]
persian_iranian_restaurant; [eat_and_drink,restaurant,middle_eastern_restaurant,persian_iranian_restaurant]
syrian_restaurant; [eat_and_drink,restaurant,middle_eastern_restaurant,syrian_restaurant]
turkish_restaurant; [eat_and_drink,restaurant,middle_eastern_restaurant,turkish_restaurant]
asian_restaurant; [eat_and_drink,restaurant,asian_restaurant]
asian_fusion_restaurant; [eat_and_drink,restaurant,asian_restaurant,asian_fusion_restaurant]
pan_asian_restaurant; [eat_and_drink,restaurant,asian_restaurant,pan_asian_restaurant]
burmese_restaurant; [eat_and_drink,restaurant,asian_restaurant,burmese_restaurant]
cambodian_restaurant; [eat_and_drink,restaurant,asian_restaurant,cambodian_restaurant]
chinese_restaurant; [eat_and_drink,restaurant,asian_restaurant,chinese_restaurant]
dim_sum_restaurant; [eat_and_drink,restaurant,asian_restaurant,dim_sum_restaurant]
filipino_restaurant; [eat_and_drink,restaurant,asian_restaurant,filipino_restaurant]
indo_chinese_restaurant; [eat_and_drink,restaurant,asian_restaurant,indo_chinese_restaurant]
indonesian_restaurant; [eat_and_drink,restaurant,asian_restaurant,indonesian_restaurant]
japanese_restaurant; [eat_and_drink,restaurant,asian_restaurant,japanese_restaurant]
korean_restaurant; [eat_and_drink,restaurant,asian_restaurant,korean_restaurant]
sushi_restaurant; [eat_and_drink,restaurant,asian_restaurant,sushi_restaurant]
laotian_restaurant; [eat_and_drink,restaurant,asian_restaurant,laotian_restaurant]
malaysian_restaurant; [eat_and_drink,restaurant,asian_restaurant,malaysian_restaurant]
mongolian_restaurant; [eat_and_drink,restaurant,asian_restaurant,mongolian_restaurant]
noodles_restaurant; [eat_and_drink,restaurant,asian_restaurant,noodles_restaurant]
singaporean_restaurant; [eat_and_drink,restaurant,asian_restaurant,singaporean_restaurant]
taiwanese_restaurant; [eat_and_drink,restaurant,asian_restaurant,taiwanese_restaurant]
thai_restaurant; [eat_and_drink,restaurant,asian_restaurant,thai_restaurant]
vietnamese_restaurant; [eat_and_drink,restaurant,asian_restaurant,vietnamese_restaurant]
hong_kong_style_cafe; [eat_and_drink,restaurant,asian_restaurant,hong_kong_style_cafe]
australian_restaurant; [eat_and_drink,restaurant,australian_restaurant]
austrian_restaurant; [eat_and_drink,restaurant,austrian_restaurant]
bangladeshi_restaurant; [eat_and_drink,restaurant,bangladeshi_restaurant]
indian_restaurant; [eat_and_drink,restaurant,indian_restaurant]
basque_restaurant; [eat_and_drink,restaurant,basque_restaurant]
british_restaurant; [eat_and_drink,restaurant,british_restaurant]
eastern_european_restaurant; [eat_and_drink,restaurant,eastern_european_restaurant]
belarusian_restaurant; [eat_and_drink,restaurant,eastern_european_restaurant,belarusian_restaurant]
bulgarian_restaurant; [eat_and_drink,restaurant,eastern_european_restaurant,bulgarian_restaurant]
romanian_restaurant; [eat_and_drink,restaurant,eastern_european_restaurant,romanian_restaurant]
tatar_restaurant; [eat_and_drink,restaurant,eastern_european_restaurant,tatar_restaurant]
ukrainian_restaurant; [eat_and_drink,restaurant,eastern_european_restaurant,ukrainian_restaurant]
french_restaurant; [eat_and_drink,restaurant,french_restaurant]
cajun_and_creole_restaurant; [eat_and_drink,restaurant,cajun_and_creole_restaurant]
canadian_restaurant; [eat_and_drink,restaurant,canadian_restaurant]
caribbean_restaurant; [eat_and_drink,restaurant,caribbean_restaurant]
dominican_restaurant; [eat_and_drink,restaurant,caribbean_restaurant,dominican_restaurant]
haitian_restaurant; [eat_and_drink,restaurant,caribbean_restaurant,haitian_restaurant]
jamaican_restaurant; [eat_and_drink,restaurant,caribbean_restaurant,jamaican_restaurant]
trinidadian_restaurant; [eat_and_drink,restaurant,caribbean_restaurant,trinidadian_restaurant]
german_restaurant; [eat_and_drink,restaurant,german_restaurant]
catalan_restaurant; [eat_and_drink,restaurant,catalan_restaurant]
italian_restaurant; [eat_and_drink,restaurant,italian_restaurant]
czech_restaurant; [eat_and_drink,restaurant,czech_restaurant]
