Category,Domain,Topic,Subtopic,Niche,Variant,Subvariant,Display Name,Hierarchy Level
bed_and_breakfast,accommodation,bed_and_breakfast,,,,,Bed And Breakfast,2
cabin,accommodation,cabin,,,,,Cabin,2
campground,accommodation,campground,,,,,Campground,2
cottage,accommodation,cottage,,,,,Cottage,2
guest_house,accommodation,guest_house,,,,,Guest House,2
health_retreats,accommodation,health_retreats,,,,,Health Retreats,2
holiday_rental_home,accommodation,holiday_rental_home,,,,,Holiday Rental Home,2
hostel,accommodation,hostel,,,,,Hostel,2
hotel,accommodation,hotel,,,,,Hotel,2
inn,accommodation,inn,,,,,Inn,2
lodge,accommodation,lodge,,,,,Lodge,2
motel,accommodation,motel,,,,,Motel,2
mountain_huts,accommodation,mountain_huts,,,,,Mountain Huts,2
beach_resort,accommodation,resort,beach_resort,,,,Beach Resort,3
resort,accommodation,resort,,,,,Resort,2
rv_park,accommodation,rv_park,,,,,Rv Park,2
service_apartments,accommodation,service_apartments,,,,,Service Apartments,2
accommodation,accommodation,,,,,,Accommodation,1
aerial_fitness_center,active_life,sports_and_fitness_instruction,aerial_fitness_center,,,,Aerial Fitness Center,3
barre_classes,active_life,sports_and_fitness_instruction,barre_classes,,,,Barre Classes,3
boot_camp,active_life,sports_and_fitness_instruction,boot_camp,,,,Boot Camp,3
boxing_class,active_life,sports_and_fitness_instruction,boxing_class,,,,Boxing Class,3
boxing_club,active_life,sports_and_fitness_instruction,boxing_club,,,,Boxing Club,3
boxing_gym,active_life,sports_and_fitness_instruction,boxing_gym,,,,Boxing Gym,3
cardio_classes,active_life,sports_and_fitness_instruction,cardio_classes,,,,Cardio Classes,3
climbing_class,active_life,sports_and_fitness_instruction,climbing_class,,,,Climbing Class,3
cycling_classes,active_life,sports_and_fitness_instruction,cycling_classes,,,,Cycling Classes,3
dance_school,active_life,sports_and_fitness_instruction,dance_school,,,,Dance School,3
free_diving_instruction,active_life,sports_and_fitness_instruction,diving_instruction,free_diving_instruction,,,Free Diving Instruction,4
scuba_diving_instruction,active_life,sports_and_fitness_instruction,diving_instruction,scuba_diving_instruction,,,Scuba Diving Instruction,4
ems_training,active_life,sports_and_fitness_instruction,ems_training,,,,Ems Training,3
fitness_trainer,active_life,sports_and_fitness_instruction,fitness_trainer,,,,Fitness Trainer,3
golf_instructor,active_life,sports_and_fitness_instruction,golf_instructor,,,,Golf Instructor,3
health_consultant,active_life,sports_and_fitness_instruction,health_consultant,,,,Health Consultant,3
meditation_center,active_life,sports_and_fitness_instruction,meditation_center,,,,Meditation Center,3
paddleboarding_lessons,active_life,sports_and_fitness_instruction,paddleboarding_lessons,,,,Paddleboarding Lessons,3
pilates_studio,active_life,sports_and_fitness_instruction,pilates_studio,,,,Pilates Studio,3
qi_gong_studio,active_life,sports_and_fitness_instruction,qi_gong_studio,,,,Qi Gong Studio,3
racing_experience,active_life,sports_and_fitness_instruction,racing_experience,,,,Racing Experience,3
rock_climbing_instructor,active_life,sports_and_fitness_instruction,rock_climbing_instructor,,,,Rock Climbing Instructor,3
self_defense_classes,active_life,sports_and_fitness_instruction,self_defense_classes,,,,Self Defense Classes,3
ski_and_snowboard_school,active_life,sports_and_fitness_instruction,ski_and_snowboard_school,,,,Ski And Snowboard School,3
surfing_school,active_life,sports_and_fitness_instruction,surfing_school,,,,Surfing School,3
swimming_instructor,active_life,sports_and_fitness_instruction,swimming_instructor,,,,Swimming Instructor,3
tai_chi_studio,active_life,sports_and_fitness_instruction,tai_chi_studio,,,,Tai Chi Studio,3
yoga_instructor,active_life,sports_and_fitness_instruction,yoga_instructor,,,,Yoga Instructor,3
yoga_studio,active_life,sports_and_fitness_instruction,yoga_studio,,,,Yoga Studio,3
sports_and_fitness_instruction,active_life,sports_and_fitness_instruction,,,,,Sports And Fitness Instruction,2
beach_equipment_rentals,active_life,sports_and_recreation_rental_and_services,beach_equipment_rentals,,,,Beach Equipment Rentals,3
bike_rentals,active_life,sports_and_recreation_rental_and_services,bike_rentals,,,,Bike Rentals,3
canoe_and_kayak_hire_service,active_life,sports_and_recreation_rental_and_services,boat_hire_service,canoe_and_kayak_hire_service,,,Canoe And Kayak Hire Service,4
scooter_rental,active_life,sports_and_recreation_rental_and_services,scooter_rental,,,,Scooter Rental,3
