trace_id	point_index	trace_point_wkt	gers_id
manual_trace#1	0	POINT (-83.6455155 32.8246168)	1118303156
manual_trace#1	1	POINT (-83.64514 32.8251578)	100000000506
manual_trace#1	2	POINT (-83.6457408 32.8257077)	300000000129
manual_trace#1	3	POINT (-83.6464918 32.8262487)	300000000129
manual_trace#1	4	POINT (-83.6475432 32.8266724)	300000000129
manual_trace#1	5	POINT (-83.6492491 32.8265552)	300000000129
manual_trace#1	6	POINT (-83.6498639 32.8263967)	300000000129
manual_trace#1	7	POINT (-83.6516632 32.8257648)	300000000130
manual_trace#1	8	POINT (-83.653543 32.8259091)	300000000130
manual_trace#1	9	POINT (-83.6547482 32.8257618)	532092881
manual_trace#1	10	POINT (-83.6559713 32.8259091)	300000000606
manual_trace#1	11	POINT (-83.6568689 32.8258542)	300000000606
manual_trace#1	12	POINT (-83.6577862 32.8258445)	9025342
manual_trace#1	13	POINT (-83.6584711 32.8263253)	9025342
manual_trace#1	14	POINT (-83.6584032 32.8269549)	9025342
manual_trace#1	15	POINT (-83.657645 32.8268467)	9025342
manual_trace#1	16	POINT (-83.6571014 32.8265792)	9025342
manual_trace#1	17	POINT (-83.6574245 32.8253471)	9025342
manual_trace#1	18	POINT (-83.6571563 32.8239587)	100000011006
manual_trace#1	19	POINT (-83.6565984 32.8226063)	100000011006
manual_trace#1	20	POINT (-83.656255 32.8215514)	100000011006
manual_trace#1	21	POINT (-83.6560047 32.8201779)	300000000762
manual_trace#1	22	POINT (-83.655994 32.8188976)	300000000762
manual_trace#1	23	POINT (-83.6560047 32.8177796)	300000000762
manual_trace#1	24	POINT (-83.6562264 32.816388)	300000000065
manual_trace#1	25	POINT (-83.6564517 32.8147109)	300000000065
manual_trace#1	26	POINT (-83.656677 32.8144133)	439069199
manual_trace#1	27	POINT (-83.6582649 32.8143773)	300000000116
manual_trace#1	28	POINT (-83.6588657 32.8145035)	300000000118
manual_trace#1	29	POINT (-83.6605936 32.8143638)	300000000118
manual_trace#1	30	POINT (-83.6623263 32.8145336)	300000000807
manual_trace#1	31	POINT (-83.6657166 32.8144374)	532092825
manual_trace#1	32	POINT (-83.6693894 32.8146298)	100000012378
manual_trace#1	33	POINT (-83.6730623 32.8148221)	300000000121
manual_trace#1	34	POINT (-83.6748505 32.8148387)	300000000123
manual_trace#1	35	POINT (-83.6766386 32.8148552)	300000000125
manual_trace#1	36	POINT (-83.6784053 32.8149589)	300000000125
manual_trace#1	37	POINT (-83.680172 32.8150626)	300000000127
manual_trace#1	38	POINT (-83.6823965 32.8151783)	300000000127
manual_trace#1	39	POINT (-83.6846209 32.815294)	300000000127
manual_trace#1	40	POINT (-83.6852279 32.8156306)	532092849
manual_trace#1	41	POINT (-83.6853433 32.8160612)	100000009897
manual_trace#1	42	POINT (-83.6855999 32.8160544)	100000010496
manual_trace#1	43	POINT (-83.6857572 32.8160529)	100000010497
manual_trace#2	0	POINT (-83.6365676 32.8409159)	100000008447
manual_trace#2	1	POINT (-83.6360097 32.8409429)	100000008447
manual_trace#2	2	POINT (-83.6349583 32.8409249)	100000008445
manual_trace#2	3	POINT (-83.6336279 32.8408077)	100000008443
manual_trace#2	4	POINT (-83.633188 32.8407086)	9024952
manual_trace#2	5	POINT (-83.6323405 32.8411412)	300000000618
manual_trace#2	6	POINT (-83.6316967 32.8417362)	88140869
manual_trace#2	7	POINT (-83.6315036 32.8419345)	88140869
manual_trace#2	8	POINT (-83.631568 32.8421238)	100000006922
manual_trace#2	9	POINT (-83.6320186 32.8424032)	100000006923
