trace_id	point_index	label_gers_id	prediction_gers_id	label_snapped_wkt	prediction_snapped_wkt	distance_to_prev_point	is_correct
manual_trace#1	0	1118303156	1118303156	POINT (-83.64549709186002 32.82464780395174)	POINT (-83.64549709186002 32.82464780395174)	0	True
manual_trace#1	1	100000000506	100000000506	POINT (-83.64506455737705 32.82509493114755)	POINT (-83.64506455737705 32.82509493114755)	69.64	True
manual_trace#1	2	300000000129	300000000129	POINT (-83.64566791286003 32.82584713626775)	POINT (-83.64566791286003 32.82584713626775)	83.01	True
manual_trace#1	3	300000000129	300000000129	POINT (-83.64649032223504 32.82625168145563)	POINT (-83.64649032223504 32.82625168145563)	92.43	True
manual_trace#1	4	300000000129	300000000129	POINT (-83.64756165449681 32.826572589763735)	POINT (-83.64756165449681 32.826572589763735)	108.95	True
manual_trace#1	5	300000000129	300000000129	POINT (-83.64924327007733 32.8265292892326)	POINT (-83.64924327007733 32.8265292892326)	159.93	True
manual_trace#1	6	300000000129	300000000129	POINT (-83.64984616137461 32.82634914580918)	POINT (-83.64984616137461 32.82634914580918)	60.09	True
manual_trace#1	7	300000000130	300000000130	POINT (-83.65166714348896 32.82580696499743)	POINT (-83.65166714348896 32.82580696499743)	182.22	True
manual_trace#1	8	300000000130	300000000130	POINT (-83.6535449662704 32.825795688331624)	POINT (-83.6535449662704 32.825795688331624)	176.38	True
manual_trace#1	9	532092881	532092881	POINT (-83.65474683335225 32.82582218378763)	POINT (-83.65474683335225 32.82582218378763)	113.8	True
manual_trace#1	10	300000000606	300000000606	POINT (-83.65597086897796 32.825814666988066)	POINT (-83.65597086897796 32.825814666988066)	115.45	True
manual_trace#1	11	300000000606	300000000606	POINT (-83.65686995295634 32.82582020037422)	POINT (-83.65686995295634 32.82582020037422)	84.09	True
manual_trace#1	12	9025342	9025342	POINT (-83.657767 32.825912100000004)	POINT (-83.657767 32.825912100000004)	85.72	True
manual_trace#1	13	9025342	9025342	POINT (-83.65838334419652 32.826367523208425)	POINT (-83.65838334419652 32.826367523208425)	83.39	True
manual_trace#1	14	9025342	9025342	POINT (-83.65832891315812 32.826878064724426)	POINT (-83.65832891315812 32.826878064724426)	70.3	True
manual_trace#1	15	9025342	9025342	POINT (-83.65759363076924 32.82692375384615)	POINT (-83.65759363076924 32.82692375384615)	71.86	True
manual_trace#1	16	9025342	9025342	POINT (-83.65728640663468 32.826528494477905)	POINT (-83.65728640663468 32.826528494477905)	58.86	True
manual_trace#1	17	9025342	9025342	POINT (-83.6573398490174 32.825347055163675)	POINT (-83.6573398490174 32.825347055163675)	140.29	True
manual_trace#1	18	100000011006	100000011006	POINT (-83.65711987680416 32.82396676962183)	POINT (-83.65711987680416 32.82396676962183)	156.4	True
manual_trace#1	19	100000011006	100000011006	POINT (-83.65667228934274 32.822580086197455)	POINT (-83.65667228934274 32.822580086197455)	159.16	True
manual_trace#1	20	100000011006	100000011006	POINT (-83.65630854504273 32.82153291137313)	POINT (-83.65630854504273 32.82153291137313)	121.61	True
manual_trace#1	21	300000000762	300000000762	POINT (-83.6559754955278 32.820180721827235)	POINT (-83.6559754955278 32.820180721827235)	154.51	True
