Group (L0),Level,Is Basic,New Primary Hierarchy,New Primary Category,New Display Name,Basic Level Category,Old Primary Hierarchy,Old Primary Category,Added,Renamed,Removed,Redirect To
arts_and_entertainment,0,FALSE,arts_and_entertainment,arts_and_entertainment,Arts and Entertainment,,arts_and_entertainment,arts_and_entertainment,,,,
arts_and_entertainment,1,TRUE,arts_and_entertainment > amusement_attraction,amusement_attraction,Amusement Attraction,amusement_attraction,arts_and_entertainment > amusement_attraction,amusement_attraction,,,,
arts_and_entertainment,2,TRUE,arts_and_entertainment > amusement_attraction > amusement_park,amusement_park,Amusement Park,amusement_park,arts_and_entertainment > amusement_attraction > amusement_park,amusement_park,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > amusement_attraction > carnival_venue,carnival_venue,Carnival Venue,amusement_attraction,arts_and_entertainment > amusement_attraction > carnival_venue,carnival_venue,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > amusement_attraction > carousel,carousel,Carousel,amusement_attraction,arts_and_entertainment > amusement_attraction > carousel,carousel,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > amusement_attraction > circus_venue,circus_venue,Circus Venue,amusement_attraction,arts_and_entertainment > amusement_attraction > circus_venue,circus_venue,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > amusement_attraction > haunted_house,haunted_house,Haunted House,amusement_attraction,arts_and_entertainment > amusement_attraction > haunted_house,haunted_house,,,,
arts_and_entertainment,1,TRUE,arts_and_entertainment > animal_attraction,animal_attraction,Animal Attraction,animal_attraction,arts_and_entertainment > animal_attraction,animal_attraction,,,,
arts_and_entertainment,2,TRUE,arts_and_entertainment > animal_attraction > aquarium,aquarium,Aquarium,aquarium,arts_and_entertainment > animal_attraction > aquarium,aquarium,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > animal_attraction > wildlife_sanctuary,wildlife_sanctuary,Wildlife Sanctuary,animal_attraction,arts_and_entertainment > animal_attraction > wildlife_sanctuary,wildlife_sanctuary,,,,
