Category code;Overture Taxonomy;Meta Taxonomy;MSFT Taxonomy
eat_and_drink;[eat_and_drink];[food_beverage,super_business];[not_available]
restaurant;[eat_and_drink,restaurant];[restaurant,food_beverage,super_business];[Restaurant]
afghan_restaurant;[eat_and_drink,restaurant,afghan_restaurant];[afghani_restaurant,restaurant,food_beverage,super_business];[Restaurant|Afghan restaurant]
african_restaurant;[eat_and_drink,restaurant,african_restaurant];[african_restaurant,restaurant,food_beverage,super_business];[Restaurant|African restaurant]
ethiopian_restaurant;[eat_and_drink,restaurant,african_restaurant,ethiopian_restaurant];[ethiopian_restaurant,african_restaurant,restaurant,food_beverage,super_business];[Restaurant|African restaurant|Ethiopian restaurant]
senegalese_restaurant;[eat_and_drink,restaurant,african_restaurant,senegalese_restaurant];[senegalese_restaurant,african_restaurant,restaurant,food_beverage,super_business];[Restaurant|African restaurant|Senegalese restaurant]
south_african_restaurant;[eat_and_drink,restaurant,african_restaurant,south_african_restaurant];[south_african_restaurant,african_restaurant,restaurant,food_beverage,super_business];[Restaurant|African restaurant|South African restaurant]
moroccan_restaurant;[eat_and_drink,restaurant,african_restaurant,moroccan_restaurant];[moroccan_restaurant,restaurant,food_beverage,super_business];[Restaurant|Moroccan restaurant]
nigerian_restaurant;[eat_and_drink,restaurant,african_restaurant,nigerian_restaurant];[nigerian_restaurant,african_restaurant,restaurant,food_beverage,super_business];[not_available]
american_restaurant;[eat_and_drink,restaurant,american_restaurant];"[american_restaurant,restaurant,food_beverage,super_business];[new_american_restaurant,restaurant,food_beverage,super_business]";"[Restaurant|American restaurant];[Restaurant|American restaurant|American (new) restaurant];[Restaurant|American restaurant|American (traditional) restaurant]"
arabian_restaurant;[eat_and_drink,restaurant,arabian_restaurant];[arabian_restaurant,restaurant,food_beverage,super_business];[Restaurant|Arabian restaurant]
belgian_restaurant;[eat_and_drink,restaurant,belgian_restaurant];[belgian_restaurant,restaurant,food_beverage,super_business];"[Restaurant|Belgian restaurant];[Restaurant|Belgian restaurant|Flemish]"
latin_american_restaurant;[eat_and_drink,restaurant,latin_american_restaurant];[latin_american_restaurant,restaurant,food_beverage,super_business];[Restaurant|Latin American restaurant]
argentine_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,argentine_restaurant];[argentine_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];[Restaurant|Argentine restaurant]
belizean_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,belizean_restaurant];[belizean_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];[not_available]
bolivian_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,bolivian_restaurant];[bolivian_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];[not_available]
brazilian_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,brazilian_restaurant];[brazilian_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];[Restaurant|Brazilian restaurant]
chilean_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,chilean_restaurant];[chilean_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];[Restaurant|Chilean restaurant]
colombian_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,colombian_restaurant];[colombian_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];[Restaurant|Latin American restaurant|Colombian restaurant]
costa_rican_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,costa_rican_restaurant];[costa_rican_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];[not_available]
cuban_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,cuban_restaurant];[cuban_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];[Restaurant|Cuban restaurant]
ecuadorian_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,ecuadorian_restaurant];[ecuadorian_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];[not_available]
guatemalan_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,guatemalan_restaurant];[guatamalan_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];[not_available]
honduran_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,honduran_restaurant];[honduran_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];[Restaurant|Honduran restaurant]
mexican_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,mexican_restaurant];[mexican_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];"[Restaurant|Mexican restaurant];[Restaurant|New mexican cuisine restaurant]"
nicaraguan_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,nicaraguan_restaurant];[nicaraguan_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];[Restaurant|Nicaraguan restaurant]
panamanian_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,panamanian_restaurant];[panamanian_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];[not_available]
paraguayan_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,paraguayan_restaurant];[paraguayan_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];[not_available]
peruvian_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,peruvian_restaurant];[peruvian_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];[Restaurant|Peruvian restaurant]
puerto_rican_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,puerto_rican_restaurant];[puerto_rican_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];[Restaurant|Caribbean restaurant|Puerto Rican restaurant]
salvadoran_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,salvadoran_restaurant];[salvadoran_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];[Restaurant|Latin American restaurant|Salvadoran restaurant]
texmex_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,texmex_restaurant];"[texmex_restaurant,mexican_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];[southwestern_restaurant,restaurant,food_beverage,super_business]";[Restaurant|Tex-Mex restaurant]
uruguayan_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,uruguayan_restaurant];[uruguayan_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];[not_available]
venezuelan_restaurant;[eat_and_drink,restaurant,latin_american_restaurant,venezuelan_restaurant];[venezuelan_restaurant,latin_american_restaurant,restaurant,food_beverage,super_business];[Restaurant|Latin American restaurant|Venezuelan restaurant]
middle_eastern_restaurant;[eat_and_drink,restaurant,middle_eastern_restaurant];[middle_eastern_restaurant,restaurant,food_beverage,super_business];[Restaurant|Middle eastern restaurant]
armenian_restaurant;[eat_and_drink,restaurant,middle_eastern_restaurant,armenian_restaurant];[armenian_restaurant,middle_eastern_restaurant,restaurant,food_beverage,super_business];[Restaurant|Armenian restaurant]
azerbaijani_restaurant;[eat_and_drink,restaurant,middle_eastern_restaurant,azerbaijani_restaurant];[azerbaijani_restaurant,middle_eastern_restaurant,restaurant,food_beverage,super_business];[not_available]
egyptian_restaurant;[eat_and_drink,restaurant,middle_eastern_restaurant,egyptian_restaurant];[egyptian_restaurant,restaurant,food_beverage,super_business];[Restaurant|Middle eastern restaurant|Egyptian restaurant]
georgian_restaurant;[eat_and_drink,restaurant,middle_eastern_restaurant,georgian_restaurant];[georgian_restaurant,middle_eastern_restaurant,restaurant,food_beverage,super_business];[Restaurant|Georgian restaurant]
israeli_restaurant;[eat_and_drink,restaurant,middle_eastern_restaurant,israeli_restaurant];[israeli_restaurant,middle_eastern_restaurant,restaurant,food_beverage,super_business];[Restaurant|Israeli restaurant]
kofta_restaurant;[eat_and_drink,restaurant,middle_eastern_restaurant,kofta_restaurant];[not_available];[Restaurant|Middle eastern restaurant|Kofta restaurant]
kurdish_restaurant;[eat_and_drink,restaurant,middle_eastern_restaurant,kurdish_restaurant];[kurdish_restaurant,middle_eastern_restaurant,restaurant,food_beverage,super_business];[not_available]
lebanese_restaurant;[eat_and_drink,restaurant,middle_eastern_restaurant,lebanese_restaurant];[lebanese_restaurant,middle_eastern_restaurant,restaurant,food_beverage,super_business];[Restaurant|Middle eastern restaurant|Lebanese restaurant]
persian_iranian_restaurant;[eat_and_drink,restaurant,middle_eastern_restaurant,persian_iranian_restaurant];[persian_restaurant,middle_eastern_restaurant,restaurant,food_beverage,super_business];[Restaurant|Persian/Iranian restaurant]
syrian_restaurant;[eat_and_drink,restaurant,middle_eastern_restaurant,syrian_restaurant];[syrian_restaurant,middle_eastern_restaurant,restaurant,food_beverage,super_business];[Restaurant|Syrian restaurant]
turkish_restaurant;[eat_and_drink,restaurant,middle_eastern_restaurant,turkish_restaurant];[turkish_restaurant,middle_eastern_restaurant,restaurant,food_beverage,super_business];"[Restaurant|Turkish restaurant];[Restaurant|Turkish restaurant|Chee kufta];[Restaurant|Cig kofte restaurant]"
asian_restaurant;[eat_and_drink,restaurant,asian_restaurant];[asian_restaurant,restaurant,food_beverage,super_business];[not_available]
asian_fusion_restaurant;[eat_and_drink,restaurant,asian_restaurant,asian_fusion_restaurant];[asian_fusion_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[Restaurant|Asian fusion restaurant]
pan_asian_restaurant;[eat_and_drink,restaurant,asian_restaurant,pan_asian_restaurant];[not_available];[Restaurant|Pan asian restaurant]
burmese_restaurant;[eat_and_drink,restaurant,asian_restaurant,burmese_restaurant];[burmese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[Restaurant|Burmese restaurant]
cambodian_restaurant;[eat_and_drink,restaurant,asian_restaurant,cambodian_restaurant];[cambodian_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[Restaurant|Cambodian restaurant]
